date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:19:34	5248/5248	---M--	200	added ('OK')	image/png	etag:%2253218949-1480%22	http://jxcg.cdu.edu.cn/Public/image/background_1.png	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/Public/image/background_1.png	(from http://jxcg.cdu.edu.cn/Public/css/style.css)
20:19:56	363964/363964	---M--	200	added ('OK')	image/jpeg	etag:%2259e9bca2-58dbc%22	http://www.cdu.edu.cn/UpImages/CompusImages/1334337138.jpg	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/www.cdu.edu.cn/UpImages/CompusImages/1334337138.jpg	(from http://jxcg.cdu.edu.cn/)
20:19:57	2810/2810	---M--	200	added ('OK')	image/png	etag:%225321894a-afa%22	http://jxcg.cdu.edu.cn/Public/image/footer_xian.png	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/Public/image/footer_xian.png	(from http://jxcg.cdu.edu.cn/Public/css/style.css)
20:19:57	463/463	---M--	200	added ('OK')	image/png	etag:%2253218954-1cf%22	http://jxcg.cdu.edu.cn/Public/image/icon_2.png	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/Public/image/icon_2.png	(from http://jxcg.cdu.edu.cn/Public/css/style.css)
20:19:58	3609/3609	---M--	200	added ('OK')	image/png	etag:%2253218949-e19%22	http://jxcg.cdu.edu.cn/Public/image/background_3.png	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/Public/image/background_3.png	(from http://jxcg.cdu.edu.cn/Public/css/qu.css)
20:19:58	267/267	---M--	200	added ('OK')	image/png	etag:%2253218949-10b%22	http://jxcg.cdu.edu.cn/Public/image/background_2.png	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/Public/image/background_2.png	(from http://jxcg.cdu.edu.cn/Public/css/qu.css)
20:19:59	120/120	---M--	200	added ('OK')	image/png	etag:%2253218949-78%22	http://jxcg.cdu.edu.cn/Public/image/background_4.png	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/Public/image/background_4.png	(from http://jxcg.cdu.edu.cn/Public/css/qu.css)
20:19:59	130/130	---M--	200	added ('OK')	image/png	etag:%225321894b-82%22	http://jxcg.cdu.edu.cn/Public/image/icon_.png	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/Public/image/icon_.png	(from http://jxcg.cdu.edu.cn/Public/css/qu.css)
20:19:59	153/153	---M--	200	added ('OK')	image/png	etag:%2253218949-99%22	http://jxcg.cdu.edu.cn/Public/image/cgly_xian.png	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/Public/image/cgly_xian.png	(from http://jxcg.cdu.edu.cn/Public/css/cgly.css)
20:20:00	2968/2968	---M--	200	added ('OK')	image/png	etag:%2253218958-b98%22	http://jxcg.cdu.edu.cn/Public/image/jiantou.png	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/Public/image/jiantou.png	(from http://jxcg.cdu.edu.cn/Public/css/cgly.css)
20:20:01	2854/2854	---M--	200	added ('OK')	image/png	etag:%2253218949-b26%22	http://jxcg.cdu.edu.cn/Public/image/dian_3.png	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/Public/image/dian_3.png	(from http://jxcg.cdu.edu.cn/Public/css/tgyy.css)
20:20:01	3259/3259	---M--	200	added ('OK')	image/png	etag:%2253218958-cbb%22	http://jxcg.cdu.edu.cn/Public/image/jiantou_bottom.png	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/Public/image/jiantou_bottom.png	(from http://jxcg.cdu.edu.cn/Public/css/tgyy.css)
20:20:03	10361/10361	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:22:46%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=34	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/index4a71.html	(from http://jxcg.cdu.edu.cn/index.php?a=lists&catid=1)
20:20:05	12355/12355	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:22:47%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=40	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/indexdb47.html	(from http://jxcg.cdu.edu.cn/index.php?a=lists&catid=1)
20:20:06	9940/9940	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:22:49%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=41	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/indexebb3.html	(from http://jxcg.cdu.edu.cn/index.php?a=lists&catid=1)
20:20:10	21765/21765	---M--	200	added ('OK')	image/jpeg	etag:%22532ae696-5505%22	http://jxcg.cdu.edu.cn/d/file/contents/2014/03/532ae69608bf6.jpg	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/d/file/contents/2014/03/532ae69608bf6.jpg	(from http://jxcg.cdu.edu.cn/index.php?a=lists&catid=1)
20:20:12	9203/9203	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:22:54%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=35	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/index331b.html	(from http://jxcg.cdu.edu.cn/index.php?a=lists&catid=2)
